,content,Rating,neg,neu,pos,compound
0,"Terrible customer experience and the…Terrible customer experience and the least sustainable company on the planet!! They expect you to change laptops every 3-4 years calling existing devices 'vintage' and then refuse to assist with any issues! Spend half my day resolving Apple BS issues rather than running my company. Not sure this is what Steve Jobs had this in mind when he set up the company, standards have slipped big time!",1,0.108,0.859,0.033,-0.7032
1,"Terrible customer serviceTerrible customer service. I received a case for Christmas, however it didn't fit the pro version of the iPhone. I tried to exchange it online and in store, as it was 2 days past the return date, refusal from both. Considering I just purchased the phone through them, and I was just exchanging it (ie not asking for money back), all other retailers would spare a bit of goodwill here and just change the products. But not this lot.",1,0.048,0.952,0.0,-0.3828
2,Airpods MaxBought a pair of Apple AirPods max 18 months ago and the left ear no longer produces any sound / noise cancelling. Tried ringing apple support but won't do anything as the headphones were purchased from Harrods. Disgusting considering the headphones get used a handful of times a year. Not what I expect when spending over £500 on headphones!,1,0.13,0.84,0.03,-0.722
3,"Taking money from consumers without…Taking money from consumers without authorization. 48 hours turnaround, unacceptable lack of accountability. Does not care about customers or taking responsibility for their actions duping customers. Offered song or video credit instead of Apple Cash. They will try to rush the process while I sit in the grocery store parking lot.",1,0.131,0.826,0.043,-0.6517
4,"APPLE Broke my iPad, then said to buy new one!Went to Apple Store in Reading to connect my new Apple Pencil with my Apple iPad Generation 7. They done few updates, and then hard reset, and now my iPad does not switch on! THey said I had to buy a new iPad!! Walked in with working iPad, walked out with a dead iPad - This is how they are making their money!! No one took ownership full well knowing my iPad was fine when we came in! Shocking - Will be switching to Samsung from now on",1,0.141,0.822,0.038,-0.8926
5,"Apple regard us with the utmost contemptChristmas Day, and I wasn't able to configure my HomePods, because after a system update they perpetually showed a status of 'Loading configuration'. I tried to contact support, and on over a dozen occasions their website informed me they would call me 'in 2 minutes or less'. No call materialised. So I went through to cancel subscription support, figuring this would get results, and it did, immediately I was able to chat to an advisor, who profusely apologised and booked me a new call for 20 minutes later. Again, no call materialised. There is something to be learned from this. That is that Apple regard us, the user, the customer, with the utmost contempt. We are clearly just base scum as far as they are concerned, and we do not warrant the time of day unless their dirty dollars are in jeopardy. Let that be a lesson to all of us! If you haven't learned it yet, I can guarantee that you certainly will do soon. Finally, anybody notice how little communication there is from Apple on this review page? It's consistent with what I have said, they just couldn't give a monkeys about any of us, or our issues with them.",1,0.077,0.858,0.065,-0.5562
6,Cancelled a trial app day it was…Cancelled a trial app day it was supposed to renew as I wanted it to edit multiple photos at once and couldn’t figure it out. They charged my card and told me I had to cancel 24hrs before even tho there is nothing that stated this. I asked for a refund and they denied. I called the horrible customer service people who have absolutely no customer service skills. One rep told me if they deny it the second time I can go to the bank and dispute charge. Another rep told me if I go to the bank my apple account will be disabled which I’m pretty sure is illegal. Won’t be purchasing any thing more from apple because they decided to be so cheap about $42. On top of it I was charged the yearly prescription instead of monthly and wouldn’t change it to monthly the same day it renewed.,1,0.151,0.805,0.044,-0.9422
7,"Best fruit company everApple always has the best customer service. No matter how many devices I purchase or need service on, they always treat me like my situation matters and I matter.    Thanks Apple",5,0.049,0.511,0.44,0.9393
8,"Apple Care refers you to AIG company to…Apple Care refers you to AIG company to claim the insurance. It is so difficult to communicate with them. Hefty online/over the phone form procedure. They charge a shocking high excess fee of 109 pounds. On top of the big Apple+Care monthly payment, it is higher than any other company. I chose Apple+Care because I admire the company and thought I was paying for quality. But I am highly disappointed with Apple. I advise all my friends and family to cancel Apple+care and will not ever use their products. Forgot to say that the whole process of phone replacement took a month—a Month to replace a Phone. In comparison, all other companies do this in a matter of days.",1,0.084,0.817,0.099,-0.0284
9,"If your parent dies they screw you, unless you are richSo, my father died of cancer. He died poor and sick. He left us nothing, because he had nothing. Then only thing he had, was an old iPad 7. We already own two iPads, two iPhone, two macbooks, an iWatch. We are good Apple customers. When I enquired about getting the iPad unlocked to give to my young kids, they walked us through the process, until it came to one document I could not produce, a Grant of Probate. I had the Death Certificate, Statement of my Father's Accounts from his solicitor, a letter from his solicitor. But in Ireland you cannot get a Grant of Probate unless the amount bequeathed is more than 25K. They told me without that document there was nothing they could do. We might as well just throw the iPad away. I have never been so disgusted with a company. Disgusting.",1,0.177,0.796,0.027,-0.9733
10,"Really poor product and customer…Really poor product and customer service.I was directed to the ""Apple Community"" to get customer service, and it's as full of Apple fanbois as you would expect.Any post they consider critical of Apple gets deleted to maintain the cult, but this makes issue resolution almost impossible.",1,0.114,0.886,0.0,-0.6178
11,"APPLE \APPLE CARE ( IPHONE)I love Apple , like. I’m glad my iPhones are associated with Apple/ Apple Store. I’m happy and blessed with my new IPhone, with AppleCare insurance and Theft/ etc insurance (if someone steals my new iPhone, I get the same iPhone ) too 🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌✨✨✨✨✨",4,0.054,0.601,0.345,0.958
12,"On SnapchatOn Snapchat, you only gave your brand of phone new updates on Snapchat, and on other phones you didn't, instead of just putting the most common things that every phone has you put some nonsense, and we on android should suffer. I think it's really not fair!!!",1,0.175,0.825,0.0,-0.8525
13,"The apple customer care staff have been…The apple customer care staff have been unfailingly polite, pleasant & helpful after I suffered a persistent problem with hackers. Prompt callbacks at a predetermined hour to suit the customer & hands on realtime tech support. I am still resolving the hacking issue but the a ability to be able to clear malicious code etc with a factory reset due to apple's sand boxing is also most helpful. I can recommend product & service.",4,0.045,0.663,0.292,0.962
14,"Goddamn amateursGoddamn amateurs. In 2024 we can make atoms collide, create AI images and operate people with robots from thousands of miles away… but the geniuses at Apple can’t make an app that is able to remeber the drumbeats you programmed into it 20 seconds ago. Garageband is a heap of garbage, just like every other product that comes out of this scam of a tech company :-(",1,0.162,0.776,0.062,-0.8277
15,"Apple Care is the model for great customer careApple Care is simply and inarguably the very best customer care a person would ask for.  I have used them for years.  When the automated voice answers it says.... ""I am an automated system that can understand complete sentences...so tell me how can I help you"".  And they are not kidding.  Anyone who gives Apple Care a bad rating is either deliberately sabotaging them or lives on another planet.  Apple is the model for great customer care.  I swear by them.Robert Kingitsaboutnature.net",5,0.054,0.658,0.288,0.9816
16,"Worst customer serviceI waited in 2 days and they failed to deliver my phone, they have used the worst couriers! Now won’t refund until 3-5 days after they get the phone back to the warehouse! I’ve never had the phone and I can’t get another one until they refund, this is the 2nd time I’ve had shockingly bad service",1,0.249,0.751,0.0,-0.9537
