,content,Rating,neg,neu,pos,compound
0,I called at 8:30am to have my vehicle…I called at 8:30am to have my vehicle towed from my residence to a dealership for repairs.It is 4:30 pm and my car has not been towed and the dispatchers are providing me with all kinds of excuses.I was expecting AAA service to be impeccable which is why I purchased the plan.I am very disappointed with the AAA service.Can anyone recommend another company that provides services like AAA?Very disappointed and upset!!!,1,0.12,0.821,0.059,-0.7401
1,Bunch of incompetence and making recommendationsThey recommended I need a new alternator after my car went dead. They also recommended another $3000 worth of work that I did not need.  It seems suspicious so I had to tow it out of there. My other mechanic tested the battery that AAA just put in and it was faulty. It also turned out I did not need a new alternator so the entire problem is fixed for less than $250. AAA wanted to charge me 3000+ then they didn’t even make an effort to make it right as I needed to be reimbursed for the faulty battery that they actually put in. . would not trust them with even a simple fix on your car,1,0.157,0.801,0.042,-0.942
2,Service is terribleService is terrible. I am a AAA North Penn Premier member and the one time I needed the service they were not able to provide it. My son was traveling from PA. to TX when he had a problem in Alabama at 1AM. After making innumerable calls to AAA and being put on hold and disconnected I was basically told they don't open in Alabama to 7 of 8 am and 24/7 really means nothing. I could try to find a outside cantractor and hope to be reimbursed from AAA. I will not renew my membership,1,0.06,0.876,0.064,0.0857
3,Went to Hyundai dealer for service…Went to Hyundai dealer for service suddenly after I left the service advisor said my battery was dead. Called AAA to get a new battery. Lady told me they don't carry batteries for my Hyundai Elantra 2020 SEL. What the hell do I pay $164.00 per year for. AAA was NOT there when I needed them.,1,0.16,0.84,0.0,-0.8834
4,"AAA is not what it used to be :(This is no longer the same company of a generation ago. When you are stranded, you get an automated system that asks you to jump through hoop after hoop, one of which is to begin your roadside assistance process, yourself, on your phone. When you finally get through, it may be an hour and a half or two hours before a tow truck arrives. Because our phone number is from another state (that we lived in a decade ago), the system auto-routes us to that state, though I have asked to have it changed numerous times. If you break down in another state, there is not a reciprocal agreement, among AAA regions as to how many miles they will tow you, via your AAA agreement plan. Will it be the 3 miles Basic, or 100 miles Gold benefits? You do not know from state to state. I asked for a Gold membership and was given Basic, which ended up costing an extra $400 when we were out-of-state, stranded, and needed a tow.",1,0.042,0.936,0.022,-0.5508
5,"If I could award 0 starsIf I could award 0 stars, I would. They towed my son's car to an impound facility 17 miles from our home. He slid off the road 1 mile from home and requested the car be towed to our address. The dispatcher failed in communication and after 6 hours after the incident, his car ended up at this facility.  When his car was finally towed back, we were charged the over milage cost not only the 16 hours that passed. The car was returned with the drivers side window rolled down. This is Michigan in the middle of winter during a snow storm. Is this the kind of business AAA should be? I think not.",1,0.043,0.898,0.059,0.4404
6,"Terrible customer serviceTerrible customer service, they do not call back when they say they will and they don't follow up with their mistakes. Rude over the phone when you don't do what they want. They insured the wrong home with an address I never gave them and when I caught it they wanted more money and not to reimburse me for their mistake and acted like I was being a problem. When I went to cancel all my policies they just said ""ok thanks"" and I have been with them for over 10 years. Don't waste your money go to Allstate they saved me $1200 a year for the same coverage",1,0.152,0.735,0.113,-0.6973
7,RICO-TOWMy boy Rico in Detroit MI need a raise and not no $2-5$ he Got there as quick as he could for The Jeep Compass on Gratiot & Conner appreciate you gang,5,0.0,0.859,0.141,0.5556
8,I would give zero star or negative star…I would give zero star or negative star if I had that option. I called AAA membership service couple times in the past. All experience were so unpleasant. They canceled my membership for no reason and no apologies at all when I called the customer service. All the agents I talked were super rude and inpatient.,1,0.255,0.692,0.053,-0.9312
9,"I wish I could give zero starsI wish I could give zero stars. AAA is just not worth it anymore. Be prepared to wait 4+ hours if you’re in a dangerous location, and ALL FREAKIN DAY if they consider your location “safe.” I will be canceling because enough is enough. They do not value timeliness or customer safety.",1,0.108,0.731,0.161,0.5103
