,content,Rating,neg,neu,pos,compound
0,"I have been online business and social…I have been online business and social for 28 yrs and counting. No single App, has caused me or friends in countries that have mountainous restrictions…to be able to communicate, more frustration, due to its profound museum, ready dysfunction I have forced uninstalled everything that has anything remotely associated with Microsoft",1,0.173,0.743,0.085,-0.6997
1,"they take money out of your account even after shutting it downI signed up to Skype so a staff member can make calls. The staff member left I shut down the auto recharge, they continue to take money out of my account. They have no way to get in contact with them so after 6 months of them taking money I go ahead and completely shut down the account. 8 months later they are still taking money out of my account. They have no way to get in contact with them, so they just continue to take money. I don’t know what to do. If anyone can help this would be greatly appreciated",1,0.039,0.906,0.055,0.4391
2,"DisgustedIf it weren't for my job requiring the use Skype, I would stop using it FOREVER.You repeatedly ban and block accounts without any valid reason. I attempted to reach out to the chat support, but they claimed it wasn't their department. Despite filling out forms and sending emails over the past 3 months, I have NEVER RECEIVED A SINGLE RESPONSE.I have thoroughly reviewed your policy, and I am not violating any terms. No contacts are being added, no bulk messaging, no spam, and no scams are involved.Despite creating new accounts, you persistently ban me. Yesterday, I wasn't even using Skype when you blocked me again. You must stop relying on bots; Hire more humans; there's NO ONE to contact about the issue.The chat support is utterly USELESS, to say the least. They disregard the problem description, respond with copy-and-paste messages, avoid my questions, and purposefully miss the point. It's like talking in a loop, repeatedly explaining the same thing to someone who isn't reading anyway. Frankly, I am embarrassed for you.",1,0.28,0.644,0.076,-0.9919
3,"I keep paying for credits which don't…I keep paying for credits which don't appear on my account, so I can't use it. Really bad. No reasonable way to contact them.",1,0.178,0.68,0.142,-0.3119
4,"I just downloaded the new version and didn't like it.I just downloaded the new version, December 2023, version 8.11. I use Skype daily and I'm largely happy with it but this new version promptly changed my name and my Skype ID and lost the funds I have against my account. Fortunately it installed alongside the old version so I was able to uninstall it promptly and revert to the more reliable older version. Stop trying to improve something that's fine as it is.",1,0.082,0.823,0.095,0.2721
5,"Utter crap platform/service....wholly…Utter crap platform/service....wholly useless,in too many ways to mention! But one has to wonder about the HR professionals  ability to recruit people who can design/service such software/app.Given up on it.",1,0.109,0.809,0.082,0.1635
6,I keep going round in circles with…I keep going round in circles with passcodes and being able to put money on my account t9 use. I go through forgotten passcode. Then I cannot remember the old email address and it does not allow me to receive codes by my phone number as it loops me. Tel 07825 323 211,3,0.062,0.916,0.022,-0.3107
7,"It used to be a really good appIt used to be a really good app, but the moment it became a part of Microsoft everything went wrong. First the interface, which is unbearable, then weird policies like security policy which no-one can understand and lastly user management, where you never know if you are looking in your phone book and looking for a Skype user ...Relatively simple and easy task, isn't it? But Microsoft (again) made it totally wrong - like everything.",1,0.108,0.708,0.184,0.7425
8,"Why not to get SkypeWhen I sent a photo I couldn't put it on normal Skype, then I tried to delete it and the only thing I could do was reply.I definitely don't suggest Skype",1,0.0,0.915,0.085,0.4019
9,Skype is great product for audio callsSkype is great product for audio calls when the group of participants is not too large otherwise its gives audio voice issues. It is an average for video communications. Skype works nice for one to one communication but bad for more number of  participants.,3,0.081,0.767,0.152,0.2823
